Position	NumberOfRepeatsIncluded
21	1
31	1
50	1
70	1
91	1
105	1
112	1
132	1
141	1
166	1
197	1
202	1
203	1
204	1
209	2
213	1
236	1
239	1
254	1
260	1
265	1
271	1
287	1
302	1
311	1
318	1
321	1
326	1
328	1
329	1
330	1
331	1
332	1
333	1
335	1
340	1
345	1
346	1
347	1
348	1
349	1
351	1
353	1
355	1
373	1
395	1
399	1
410	1
412	1
417	1
421	1
427	1
433	1
443	1
458	1
459	1
461	1
467	1
473	1
478	1
514	1
529	1
534	1
535	1
539	1
555	1
558	1
564	1
565	1
594	1
621	1
666	1
970	2
1297	1
1651	4
1652	3
1653	2
1654	1
1655	3
1656	2
1657	1
1934	2
2033	1
2233	2
2343	4
2401	3
2441	2
2472	2
2473	1
2474	1
2475	1
2476	1
2477	2
2478	1
2479	2
2480	1
2483	3
2665	2
2666	2
2683	2
2762	3
2842	2
3039	4
3100	1
3939	1
4243	3
4411	1
4414	1
4511	2
4554	2
5015	1
5023	1
5030	1
5033	1
5047	1
