Position	NumberOfRepeatsIncluded
1	4
2	5
3	4
5	2
10	2
12	5
18	2
24	5
25	4
30	8
45	1
46	2
55	2
63	2
68	5
72	1
73	9
76	5
79	4
80	3
88	8
89	2
97	2
101	2
102	4
111	2
123	2
130	8
138	3
144	5
147	4
148	7
149	4
150	1
151	3
152	2
153	1
154	4
155	3
156	2
157	1
169	2
171	2
178	2
181	6
183	4
184	4
187	8
188	4
189	4
191	2
196	2
205	2
210	2
212	2
215	2
216	2
219	2
222	2
225	4
227	6
232	5
233	2
236	2
242	2
247	2
250	4
252	2
254	4
256	3
257	2
266	2
272	2
273	2
275	6
287	2
298	4
299	2
302	3
306	4
308	4
310	2
314	2
315	3
316	4
317	2
318	2
319	2
320	2
333	4
342	3
349	2
351	2
352	4
358	1
359	1
361	5
363	2
364	3
365	4
369	2
373	3
378	2
380	3
385	2
387	2
402	2
408	2
414	2
419	2
422	8
423	9
425	2
428	2
431	4
432	5
433	4
434	2
435	4
437	11
438	4
439	4
440	2
441	7
446	2
450	3
453	4
454	2
462	2
467	2
469	5
470	2
471	2
473	9
474	1
476	2
484	5
486	2
490	2
494	2
500	2
504	1
506	9
513	1
515	7
532	1
535	2
542	2
546	2
551	4
554	1
555	2
563	4
569	7
571	3
573	4
576	5
578	5
584	3
586	1
587	2
591	2
596	8
611	2
613	2
614	5
632	2
633	2
640	2
652	2
658	7
665	1
672	2
682	2
683	4
689	2
690	9
691	5
695	5
696	4
697	2
698	4
699	2
701	4
702	2
704	5
705	4
710	2
714	2
719	4
720	1
723	2
725	2
735	2
736	1
740	5
742	4
746	4
753	2
756	2
759	7
762	2
763	5
764	5
767	8
769	2
772	5
777	1
785	3
787	2
789	4
790	5
791	7
793	3
794	2
799	2
800	2
801	4
807	6
808	6
809	4
813	9
817	2
820	5
824	2
828	7
829	10
831	1
832	3
843	1
845	3
848	2
857	2
864	7
867	2
868	2
870	2
872	5
873	2
878	4
881	2
884	2
891	6
892	2
893	2
898	4
902	2
905	2
918	2
919	5
927	4
928	1
930	2
931	4
939	3
940	3
944	1
945	5
947	1
952	4
953	3
954	2
955	1
956	3
957	2
958	1
959	4
960	3
961	2
962	1
