Position	NumberOfRepeatsIncluded
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	2
134	2
185	2
186	2
199	2
207	2
260	2
261	1
262	1
263	1
264	1
267	2
292	2
336	2
366	2
390	2
412	2
418	2
425	2
456	2
488	2
490	2
491	2
506	2
530	2
550	2
579	2
710	2
724	2
743	2
770	2
779	2
780	1
781	1
782	1
783	1
2256	2
2265	2
2370	2
2409	2
2478	2
2480	2
2532	2
2541	2
2544	2
2554	2
2566	2
2588	2
3011	2
3194	2
3195	2
3207	2
3715	2
3716	2
3717	2
3718	2
3754	1
3755	1
3757	1
3890	2
3968	2
3978	2
4117	2
4228	2
4264	2
4363	2
4404	2
4661	1
4679	1
4681	1
4758	1
5423	1
5516	2
5524	2
5583	1
5977	2
6633	1
6905	1
6911	1
6912	1
6913	1
6915	1
6916	1
6919	1
6920	1
6921	1
6922	1
6923	1
6924	1
6925	1
6926	1
6927	1
6935	1
7025	1
7102	1
7128	1
7282	1
7299	1
7390	1
7803	1
8215	2
8244	2
8321	2
8322	1
8591	2
9194	1
9273	1
9490	1
9503	1
9513	1
9514	1
9517	1
9518	1
9519	1
9520	1
9661	1
9683	1
9685	1
9689	1
9692	1
9713	1
9725	1
9728	1
9741	1
9742	1
9753	1
9771	1
9775	1
9786	1
9787	1
9800	1
9801	1
9802	1
9803	1
9805	1
9808	1
9812	1
9813	1
9825	1
9826	1
9827	1
9828	1
9830	1
9832	1
9833	1
9834	1
9837	1
9844	1
9850	1
10165	1
10178	1
10181	1
10245	1
10254	1
10261	1
10327	1
10352	1
10356	1
10362	1
10424	1
10452	1
10460	1
